,Name,Review Title,Rating,Reviewed Day,Reviewed Month,Reviewed Year,Verified Purchase,Helpfull No,Review
22,Sanjib M.,"READ before BUY ! ""Iphone 12! Worth buying or not?""",4,21,1,2021,1,40,"From owner POV, It's completely different experience for me as I've come from a long line of android platform. But the UI is very attractive. I think it surpassed my expectations as a consumer. But as a rational thinker, 79k is a lot for a phone which carry a little amount of specs ships. I'm lucky that I have a Amazon business account, so getting a GST bill.As per the limitations :1. 60 Hz display (with the beautiful UI animations, it doesn't feel like one)2. Google exceeds on Maps, contacts and AI capabilities.3. Hefty price tag. (I mean! Wtf is this! 80k! Are you serious?)4. Necessity of a 1900 INR charger (That too of 20W and without extra cable. Why?)5. One sillicon case worth 4600 INR ( Sorry! My name's not Sanjib 'Ambani' ! Terrible joke! I know! I left my sarcasm capabilities at an Apple store for leverage.)Advantages:1. It's a flagship iPhone 12 with A14 bionic processor and it's best in the market.2. The UI and the optimization (And I came from an Android background.)3. Display (Can't find much difference if you're a Samsung flagship user.)4. The design and in-hand feel.5. The build quality, you can feel by holding it that it's premium.Overall, I found it very attractive and worthy of the money spent. (Because I am telling my mind this only as justification for a 80k expenditure)On a serious note, as coming from an Android background, if Samsung could launch a flagship with Snapdragon latest processor, I could think of buying that.But iPhone 12 in 2020?  its a technological wonder. It's very slim, premium and beautiful.If you're comfortable to spend 80k, you should go for it for a wonderful experience."
23,Abhishek James,For first time iPhone Users,5,14,11,2020,1,38,"When the iPhone 11 prices were announced, I was in a dilemma whether to go for the 11 or wait for 12. And since it was my first iPhone, I thought why not get the 12. The logic being: The phone will last for a couple of years (provided you don't drop it often), and if you are looking for a phone for a long time horizon, then go for the 12. This one with the better chip and the display will be able to handle the upcoming updates as well the apps which will get even more intensive in the future.All technical specs are really good, display is an OLED one, even visible in extreme sunlight. Build quality is miles apart, my brother uses a Samsung Galaxy Note 10+, and holding this one is way way out of the leagues of all the android phones. Processor and RAM are capable of even running multiple intensive applications, I had Adobe LightRoom, iMovie, and a couple of apps open, all to slide between them seamlessly. The trick here is that since apps are only made for a very few iPhones and iOS versions, these apps are hardware integrated, hence work better. A classic example is Instagram. Instagram does feel a bit more polished on the iPhone than android. FaceID even works when there's no light, so thats that. But it can't identify you with the mask, you're left to the PIN when you're in the outside.The Battery: Yes it has a smaller battery, yes with intensive use it will run out in a day, but if you are a bit prudent with it, it'll definitely last for more than a day. I use 4G in between, outdoor photography a bit, editing, email, Apple Music, Youtube, WhatsApp and Instagram. By the end of the day (7:00 PM) , I usually have 40 percent remaining.So yes, its an iPhone and yes its really something nice to hold and use daily."
24,Manish Oberai,Bad quality,1,22,12,2020,1,41,Price is high and packing is torn and scratched
25,ritesh,hang problem,1,5,1,2021,1,39,in a day use it starts hanging just using whatsapp and instagram on it and its hanged ... worst experience
26,Anuj 🌌,iphone 12 | Long term honest review 🧞‍♂️✨,5,3,12,2021,1,32,"(Long user of both iOS & android)Review after 10 months of use.This pastel green is a treat to the eyeA14 bionic chip is a boss.Easily compete with 1 year newer snapdragon chips in gaming & thermal management.Camera ISP of apple are under appreciated- Video recording performance is unmatched.(Though there are better androids for still clicks/zoom like pixel & galaxy)Much lighter than older 11, XR & XS series.. in weight & volume. Easy to grip!- You don’t know the pain of owing an iphone until you break it’s screen. (No experience though xp)So ceramic-hardened display is a nice add!Considering iphone 13 are out u can grab 12 at a price drop 😌If camera is most important, go for 13 eyes closed (much larger physical sensor)Evaluate Price to value ratio^Pros :5nm chip (thermals, efficient)Face ID (but pain during pandemic)Good speakersA14 (only 2 to 3 app on the entire app store that push the gpu to its limit)OLED (for apple it’s still a feature lol)Build to lastHolds valueLags only once a years (pun intended) 😂Finally good battery life.Top 99% in silicon & camera among all phones.5 year OS/security updatesStarting 12 series apple uses Qualcomm modems instead of trash intel ones (good signal)Cons:4GB RAM, really apple?(Supper smooth but doesn't hold when keeping multiple heavy apps open at once)iOS lacks customisation & consumes a lot of data than android for similar tasks on cellular.No 120hzNot price friendly at launch (not gonna make a kidney joke..)Indian taxes aside apple still exploits pricing.To sum it up, u will cherish this purchase!Skip 11 or below… if not sure hold on till iphone SE 3 with A15 ..might launch in 2022.Show some love if you find it helpful. Thanks💛"
27,Amit Kumar,What a Phone. Its iPhone,5,8,11,2020,1,34,"Its my First Apple device. Happy to own it after a long confusion between iPhone 11 and 12. I believe, it was worth waiting for 12.Received it on 04-Nov-2020. Working well till now. Checked Service Support Coverage. Its a genuine product.AndiPhone in white color is legend.Update after 1 month approx.-----------------------------------After using it for a month I am in love with this phone. Too smooth and I forgot what is lagging...Battery backup is very good and lasts one and half day easily with normal usage. I charge my phone when the battery is around 30%. Battery health is 100% after a month.Camera is awesome and gives very nicely detailed pictures with true colors.Phone speakers are really great and warm. They are loud but don't shout. Listening music or watching videos are enjoyable without earphones too.4G speed better than other 4g phones I have.Worth every penny."
28,Dipanjan Roychoudhary,Perfect replacement for a long time android user,5,4,12,2020,1,30,"Okay I NEED TO CLEAR a few misconceptions about this phone because i am seeing a lot of negative reviews here which are not true, probably from IOS haters. I have been an android user since 2014 when I got my first phone, after many years i switched to Apple after complaining about their high prices  because i was disappointed with Samsung using Exynos processors for their flagship phones in India which causes heating, and Oneplus throwing one cheap model after another every six months.And trust me guys its amazing. The software is butter smooth, i might never go back to android again.  FIRST OF ALL - who said the battery life is bad? I got my phone at 70 percent charge at 2 pm and after 24 hours it was 20 percent EVEN AFTER I KEPT MY DATA PACK ON THE WHOLE TIME.SECONDLY- why are so many guys reviewing the phone on basis of the charger? everyone knows iphone 12 comes without an adapter. did you people not do your research before buying?THIRD - the 60 Hz thing does not matter at all, flipping screen is  real quick u wont even notice the difference from a 120 Hz in androidand lastly - the AI is so sharp, be it the camera which automatically detects low light or even the face recognition.overall this phone is worth the high price. i will definitely be using it for 4-5 years. a happy customer here"
29,Amazon Customer,Wrost part of ceremic shield,4,2,12,2020,1,33,They called ceremic shield but it’s not for scratchless!!!!! I have so many scratches in my phone.......pls use tempered glass for protection of scratches!!!!!
30,shubham,Apple .....bas always been just apple.,5,14,12,2020,1,28,"Pros:there are 1000s of blog for prosCons:Apple has to work to improve their battery lifeCharger ! Charger ! Charger ! If apple really cares about environment so much then they must deliver a phone once in 3 years. Or, give the users a usb c.Don’t rely on their screen advertising. Use a cover. Glass is still a glass and you can observe scratches after a month of usage.5g isn’t for India, still price in terms of dollars was same!"
31,Nishat,If selling a product the take the ownership end to end.,3,4,4,2021,1,25,"I am writing this after 4 days of extensive use. Phone is good but as comparing to picture quality most premium phones have better than this one. And one more important thing if you are purchasing it through Amazon then replacement/return policy doesn’t apply here directly with amazon, you have to contact Apple for any sort of issue. Even if the phone is 1 day old."
32,Aditya,DEFECTIVE / REFURBISHED IPHONE,1,26,2,2021,1,28,The item looks to be defective and I really doubt that it’s a refurbished / seconds / faulty device sold by the dealer. I had put up for replacement but I don’t know it doesn’t shows pick up. It’s showing replacement possible till 01 Mar 21 but not showing and date of collection.
33,rupinder,I miss my OnePlus 6,3,23,3,2021,1,24,"Android v/s iOSPro Apple1. Tons of privacy features and solid implementation. Every new app installed needs permission to send notifications.And with a future update, facebook won't be able to track what you're doing in other apps outside of Facebook. This deserves an applaud. 2. BatteryThe battery is amazing, giving more than 6 hours of screen on time. OnePlus can't touch this. If you bring this up with them, they'll distract you by saying it has fast charging.3. Camera - photos are ok and decent BUT, DAMN, the video quality is amazing. Totally stabilized ready for uploads.4. Build Quality - SOLID.5. Continued updates for years and years. An android may last you 2-4 years, and the updated would be ""raam bharose"", but these new iphones especially will easily last 5 years minimum with no compromises on software and security upgrades.6. Less features, but they work 10/10. Example, auto fill OTP option in keyboard works every single timein iPhone. In Android, if your keyboard is open already before the otp arrives, then this feature won't work. Half baked implementation.Pro Android / Anti - iOS1. Notifications. Notifications centre on iPhone SUCKS. I have missed email notifications regularly. Android does this so well.2. Implementation of new app library feature sucks. This creates a very confusing situation. The way to solve this would be if the auto-folders in app library could be manually managed.3. Screen Sizes and Notch - The Notch is a disgrace for iphones when the iphones have reached the level of punch hole displays. Hoping the next year's model can make it better.4. No Truecaller in iPhone and no call recording. I can forgive the call recording considering the privacy first model, but truecaller is a pro to privacy.5. CHEAP QUALITY OF CHARGING CABLE. For a luxury brand, this is a disgrace.6. PRICE - Yes, iphones are expensive BUT, paying +10-15k for a phone available cheaper in Dubai / USA really pinches. Damn Taxes.7. Yes iPhones run smoothly but don't think that these don't stutter. I face very light stutters now and then and I restart at least once a week whenever I encounter it.I'll probably give this phone to my family member against their iPhone x since they're way too deep in ios ecosystem now."
34,Piyush Kumar,Phone is great but iOS sucks,3,23,7,2021,1,22,"First of all, I don't know why people here are leaving misleading reviews, I didn't feel any sort of heating issue or something like that, neither my phone is damaged nor it is refurbished. These sort of reviews are only making other people sceptical.Now let's talk about the cell phone itself.It is great, I love it. The reason why I gave 3 stars is because I have been an android user before this device and I am being honest right now :-iOS sucks in terms of user experience, Android is easy to use and makes a lot of sense (believe me, I was a hardcore android user, I didn't only use it for playing games and making calls). In iOS I kinda feel like being constraint.let me give you few example, which are quite obvious but still not in iOS:-1. Notifications- You can't reply through notifications.- Notifications from a similar user/ sender do bundle, but you can only see the latest message (You can't just swipe down on notification to preview the messages)- if you want to remove a particular notification then you have to swipe two times to the left. If you swiped right then it will open the message for you (lol).- Notifications are so huge, sometimes it's really painful to scroll through all the notifications.2. App library- It has something called app library, they thought it'd be cool to make one but by giving their own flavor. They bundled things in their respective folder not like in android where each icon represent an app. You have to explicitly click on search(app library) to see all apps in the list view or to search an app. Just copy android, no one is slapping you in the face for that.3. whatsapp- Using whatsapp is really frustating sometimes.- To send some media to a contact, there are three processes. Two times it will do preparing and then one time it will do the sending (finally). if you are sending some big media to someone then you can literally get a 15 min power nap and then grab a cup of coffee and drink it, still there might be chances that the iOS would be in one of the preparing process.- Sometimes when you click on someone's profile then instead of opening the user's profile, whatsapp tends to scroll to the location from where that current day chats are starting (I think that is whatsapp's issue not iOS)- You can't directly send any media as a document (preserving it's quality). There are steps to do that too.The above points are few examples, I will keep updating them as per my experience.I am not saying iOS is slow or the phone's hardware is bad, it's actually quite opposite of bad, it's fast and amazing.I just hated the user experience domain of iOS. It really really sucks. iOS should bluntly copy the android things so that the HARDCORE IPHONE USERS will know what user experience they were missing."
35,Harimuni,Worst Phone ever in my life,1,16,4,2021,1,21,Phone is heating up a lot while shooting a Video and playing a Game even very much difficult to hold such a hot. Some of the function not at all working like Call forwarding morning I have forwarded my call to other number and evening I am trying to turn it off but I am unable to enter into the function at all it rotating from past 2 Hours. Please I recommend not to purchase this Phone at all. It is totally a waste of money. Even security features like face unlock is automatically getting canceled out.
36,shijin,Fault quality product delivered,1,8,4,2021,1,21,"The product you delivered actually not value for money, dent products which I can't identify were apple authorized personDetected and found dent and they denied my service under warranty, very bad product delivered and after service also not satisfying, look like refurbished product delivered to me. Will go for consumer court to satisfy the complaint."
37,Legend of the headless rider,iphone 12 from Apple ...an environment friendly company,5,4,1,2021,1,16,ProsVery good build qualityLight WeightFits in hands perfectly (even though it is 6.1 inch)Excellent DisplayDolby Vision HDR video recordingAmazing CameraSmooth performance for Everthing5GWell optimized SoftwareFace Id works perfectly even in dark roomWireless chargingConsOnly 18W chargingNo charger in the box..If this is environment friendly why are they selling it separately on websiteNo clear case in the box..(it would have been a complete package)No type C to type C connectorSlightly expensive (it should have been around 70k)
38,moazzam sameer,Decent buy.,5,14,11,2020,1,19,"Really happy with the purchase. But 2x zoom missing does make a little difference. Performance, Display, camera and battery are on point and that what matters the most to me. I was planning on buying the pro model but this year it was insanely expensive. So Bought this and saved some money for decent accessories. The value for money is great for the 128gb version."
39,Ranit Kumar Dholey,Long Term Review: Excellent All Rounder Device,5,27,9,2021,1,30,"This is going to be a long review, sit back, relax and have a read.I bought the iPhone 12 in May of 2021 after selling my OnePlus.Having used the iPhone7 and XR for years, this was my third iPhone.I have to say the iOS experience on the XR was absolutely horrible. Terrible reception, average battery and mediocre cameras forced me to move to android. I was tempted to move the 12 for all the improvements in modems, screen and the camera.And boy was I surprised . Let’s take up the review in sections.1. Screen: Having used a high refresh rate screen of OP8 before, I was quite sceptical about the 60hz of iPhone12 before I bought it. But, astonishingly, the iPhone12 screen is buttery smooth, courtesy of the high touch sampling rate and excellent animations. This does not feel like a 60hz display, and I cannot stress this enough. The display is EXCELLENT .2. Camera: being a photographer who has spent half of his life travelling, I prioritise a good camera over anything else. And these are surely the most spectacular cameras that I have used on a smartphone. Excellent HDR, great details and very post processing friendly. Of course, the video is as good as it gets on a phone. Attaching some images I shot on the 12 for your reference. Trust me when I say this, you could use this for some semi professional shoot just fine, if it’s only for social media and you are not printing really big.3. Battery: Battery on this device is not spectacular, it’s average. It will get you through the day for sure, unless you are in very long video calls two three times a day. It is good enough, on par with my OnePlus.4. Build Quality: this is where it is head and shoulders above the competition. Rock solid, an led weirdly lightweight, this feels very, very premium.5. Software: iOS 14 and the iOS15 have really pushed the sub par experience of ios11 away, and this software now feels smoother than ever. Great improvements. Excellent software experience, not something I could say with my XR.Summary: Excellent device, with no complains. This could really be one of the first devices that I used which I can call perfect. Highly recommended."
40,Integrity Packaging LLP,"Unmatched Quality, Simple & Powerful",5,16,7,2021,1,15,"The overall feel of the iPhone is very good. The weight of the phone is light & comfortable & size too for daily use. The screen, colours & image quality is unmatched. The colors on camera & photo are natural. Fingerprint reading & facial recognition is superb & very quick & highly accurate."
